Factory,Distance (km),Predicted Lead Time,Original Factory,Region,Ship Mode,Division,Current Lead Time,Improvement (days),Improvement (%)
Wicked Choccy's,139.53489536843844,2.67688020891865,Lot's O' Nuts,Gulf,Second Class,Chocolate,6.219425032581658,3.5425448236630075,56.95936208097538
Lot's O' Nuts,614.4382858116559,3.2831148010695177,Wicked Choccy's,Pacific,Second Class,Chocolate,6.787689815284583,3.5045750142150656,51.631337164574475
Lot's O' Nuts,614.4382858116559,1.2921216828646935,Wicked Choccy's,Pacific,Same Day,Chocolate,4.796696697079758,3.5045750142150647,73.06226004134594
Lot's O' Nuts,69.65654980228574,1.5861973353028551,Wicked Choccy's,Pacific,First Class,Chocolate,5.054637856646124,3.468440521343269,68.61897171886937
Lot's O' Nuts,1107.579150381621,4.884814219596002,Wicked Choccy's,Pacific,Standard Class,Chocolate,8.196896200125696,3.312081980529694,40.40653803178457
Wicked Choccy's,214.06061692841786,0.7785919816382845,Lot's O' Nuts,Gulf,Same Day,Chocolate,4.072713820423014,3.2941218387847297,80.8827230203615
Wicked Choccy's,1024.6032249256082,3.814068850027636,Lot's O' Nuts,Atlantic,Second Class,Chocolate,6.721710124776951,2.907641274749315,43.25746306779036
Wicked Choccy's,1024.6032249256082,1.8230757318228117,Lot's O' Nuts,Atlantic,Same Day,Chocolate,4.730717006572126,2.9076412747493148,61.46301439527851
Wicked Choccy's,201.98395204492553,3.7506778289272162,Sugar Shack,Gulf,Standard Class,Sugar,6.4733178981281885,2.7226400692009722,42.05942164509247
Wicked Choccy's,373.9402724055248,1.9492181198554557,Lot's O' Nuts,Gulf,First Class,Chocolate,4.664731637172484,2.715513517317029,58.21371363954885
Secret Factory,204.23932180181185,3.77292367524454,Lot's O' Nuts,Interior,Standard Class,Chocolate,6.400454853216193,2.627531177971653,41.05225703844052
Secret Factory,207.25399530519246,2.788407748214174,Lot's O' Nuts,Interior,Second Class,Chocolate,5.412712437930513,2.624304689716339,48.484095909586344
Lot's O' Nuts,89.11379552685445,3.625762404429476,Sugar Shack,Pacific,Standard Class,Sugar,6.1742121068300655,2.5484497024005894,41.27570705874247
Secret Factory,704.5256300577935,4.407351369207061,Lot's O' Nuts,Atlantic,Standard Class,Chocolate,6.947203794172733,2.539852424965672,36.559348195544274
Secret Factory,399.1768574466945,2.0079003216332176,Lot's O' Nuts,Interior,First Class,Chocolate,4.541468446874848,2.5335681252416307,55.78742107049257
Secret Factory,658.4352304516789,2.3425057800041245,Lot's O' Nuts,Atlantic,First Class,Chocolate,4.874971035044906,2.5324652550407816,51.9483138840322
Lot's O' Nuts,504.5068591544657,4.088684257296146,The Other Factory,Pacific,Standard Class,Other,6.5220324308244955,2.4333481735283495,37.309660743602485
The Other Factory,365.24353091512046,3.9009475630975325,Lot's O' Nuts,Gulf,Standard Class,Chocolate,6.320561420359105,2.419613857261573,38.281628740570035
Lot's O' Nuts,614.4382858116559,3.237165444975285,Secret Factory,Pacific,Second Class,Other,5.631741935936457,2.394576490961172,42.51928654047954
Lot's O' Nuts,614.4382858116559,4.2792300737442215,The Other Factory,Pacific,Standard Class,Sugar,6.658836056661448,2.3796059829172265,35.73606502200467
Lot's O' Nuts,702.2139834455186,1.3553592800080287,The Other Factory,Pacific,Same Day,Other,3.727618717908202,2.372259437900173,63.64007741734367
Lot's O' Nuts,69.65654980228574,1.5940466336822512,The Other Factory,Pacific,First Class,Sugar,3.952745606807906,2.3586989731256547,59.67242033140743
Lot's O' Nuts,480.043539901009,2.050741274108155,Secret Factory,Pacific,First Class,Other,4.167137322174182,2.1163960480660267,50.78776830329671
Lot's O' Nuts,1107.579150381621,1.8596057710016378,Secret Factory,Pacific,Same Day,Other,3.8726016786166015,2.0129959076149637,51.98045331463216
Sugar Shack,704.3863291944674,2.45743223449901,Wicked Choccy's,Interior,First Class,Chocolate,4.420153619791045,1.9627213852920353,44.40391792050023
The Other Factory,424.21855014372625,2.9938917699803964,Sugar Shack,Gulf,Second Class,Sugar,4.709045351859856,1.7151535818794592,36.42253267325303
Lot's O' Nuts,1578.349461319377,3.416958581576047,The Other Factory,Pacific,First Class,Other,5.089666893411427,1.6727083118353798,32.864789520915416
Lot's O' Nuts,1107.579150381621,3.904397543680091,Sugar Shack,Pacific,Second Class,Sugar,5.5707271901486255,1.6663296464685344,29.912246455279696
Lot's O' Nuts,1654.0656527363005,4.530390651460062,The Other Factory,Pacific,Second Class,Other,6.129163631813409,1.5987729803533473,26.08468424720985
Lot's O' Nuts,511.61053853566125,4.129268539068404,Secret Factory,Interior,Standard Class,Other,5.6850699859073455,1.5558014468389416,27.3664431694878
The Other Factory,667.3794372092215,4.3087517046812,Sugar Shack,Interior,Standard Class,Sugar,5.668095592113604,1.359343887432404,23.982374067998236
Lot's O' Nuts,531.4657958102597,4.12221932719954,Secret Factory,Pacific,Standard Class,Other,5.392935103844895,1.2707157766453552,23.562600924668978
