Origin Factory,Region,Avg_Lead_Time,Avg_Distance,Order_Count,Avg_Gross_Profit,Cluster
Lot's O' Nuts,Atlantic,6.9566526189042746,3313.213497798456,1661,9.220728476821192,0
Lot's O' Nuts,Gulf,6.202898550724638,2692.724703800963,897,9.268026755852842,0
Lot's O' Nuts,Interior,5.321725965177896,1915.091690766017,1321,9.351672975018925,0
Lot's O' Nuts,Pacific,4.009928295642581,967.8938760151802,1813,9.260033094318809,1
Secret Factory,Atlantic,4.263888888888889,1230.9496041879256,72,20.831249999999997,1
Secret Factory,Gulf,4.4324324324324325,1165.2591695129327,37,12.972972972972974,1
Secret Factory,Interior,3.511111111111111,716.6810649813318,45,17.92888888888889,1
Secret Factory,Pacific,5.444444444444445,2340.994630674805,63,24.73095238095238,1
Sugar Shack,Atlantic,5.5,1834.054573531592,18,3.545,2
Sugar Shack,Gulf,6.0,2303.071662218359,4,5.8100000000000005,2
Sugar Shack,Interior,4.375,1328.0176497883244,8,2.92375,2
Sugar Shack,Pacific,5.666666666666667,2148.9748351755334,3,3.5966666666666662,2
The Other Factory,Atlantic,4.631578947368421,1488.4658067535233,38,1.4407894736842106,2
The Other Factory,Gulf,3.210526315789474,741.8868458796178,19,1.394736842105263,2
The Other Factory,Interior,3.8181818181818183,816.6392021164196,11,0.8863636363636364,2
The Other Factory,Pacific,5.96875,2641.2965236290315,32,1.9140625,2
Wicked Choccy's,Atlantic,4.311612364243943,1133.043932260121,1197,8.387351712614871,1
Wicked Choccy's,Gulf,3.5957767722473606,602.9039220138919,663,8.834856711915537,1
Wicked Choccy's,Interior,4.62421052631579,1397.5216623382432,950,8.514726315789474,1
Wicked Choccy's,Pacific,7.134873323397914,3459.8204027193588,1342,8.992108792846498,0
