Factory,Distance (km),Predicted Lead Time,Original Factory,Region,Ship Mode,Division
Lot's O' Nuts,1594.3070244623425,5.522018134477964,Wicked Choccy's,Interior,Standard Class,Chocolate
Wicked Choccy's,1385.22305169519,5.238815370806101,Wicked Choccy's,Interior,Standard Class,Chocolate
Sugar Shack,2042.7423143785559,6.12976766276404,Wicked Choccy's,Interior,Standard Class,Chocolate
Secret Factory,1369.5640708816766,5.22250781201906,Wicked Choccy's,Interior,Standard Class,Chocolate
The Other Factory,781.6959282884843,4.443104287941296,Wicked Choccy's,Interior,Standard Class,Chocolate
Lot's O' Nuts,2300.48476390969,6.400454853216193,Lot's O' Nuts,Interior,Standard Class,Chocolate
Wicked Choccy's,1246.4569711339834,5.066199875200494,Lot's O' Nuts,Interior,Standard Class,Chocolate
Sugar Shack,946.4244842378212,4.766023404616343,Lot's O' Nuts,Interior,Standard Class,Chocolate
Secret Factory,204.23932180181185,3.77292367524454,Lot's O' Nuts,Interior,Standard Class,Chocolate
The Other Factory,756.8299942834068,4.41217276991741,Lot's O' Nuts,Interior,Standard Class,Chocolate
Lot's O' Nuts,3343.480670048191,7.709976099072259,Wicked Choccy's,Atlantic,Standard Class,Chocolate
Wicked Choccy's,1024.6032249256082,4.8023348243229425,Wicked Choccy's,Atlantic,Standard Class,Chocolate
Sugar Shack,1901.0039825617444,5.9655606976731566,Wicked Choccy's,Atlantic,Standard Class,Chocolate
Secret Factory,1307.2112874004342,5.157051029353506,Wicked Choccy's,Atlantic,Standard Class,Chocolate
The Other Factory,1409.7831562621138,5.236507568781359,Wicked Choccy's,Atlantic,Standard Class,Chocolate
Lot's O' Nuts,2255.6471221598526,6.320561420359105,Lot's O' Nuts,Gulf,Standard Class,Chocolate
Wicked Choccy's,864.5734209894242,4.567044427562099,Lot's O' Nuts,Gulf,Standard Class,Chocolate
Sugar Shack,1346.2800060507961,5.239297795699937,Lot's O' Nuts,Gulf,Standard Class,Chocolate
Secret Factory,483.42190977154127,4.0960892054502285,Lot's O' Nuts,Gulf,Standard Class,Chocolate
The Other Factory,365.24353091512046,3.9009475630975325,Lot's O' Nuts,Gulf,Standard Class,Chocolate
Lot's O' Nuts,2255.6471221598526,6.320561420359105,Wicked Choccy's,Gulf,Standard Class,Chocolate
Wicked Choccy's,864.5734209894242,4.567044427562099,Wicked Choccy's,Gulf,Standard Class,Chocolate
